Matter Case ID #,State,County of Residence,FIPS
25-0000001,CA,Los Angeles,6037
25-0000002,CA,Orange,6059
25-0000003,CA,Stanislaus,6099
25-0000004,CA,Los Angeles,6037
25-0000005,CA,Los Angeles,6037
25-0000006,CA,Los Angeles,6037
25-0000007,CA,Kern,6029
25-0000008,CA,Riverside,6065
25-0000009,CA,Ventura,6111
25-0000010,CA,Kern,6029
25-0000011,CA,Los Angeles,6037
25-0000012,CA,Los Angeles,6037
25-0000013,CA,Shasta,6089
25-0000014,CA,San Joaquin,6077
25-0000015,CA,San Bernardino,6071
25-0000016,CA,Tulare,6107
25-0000017,CA,Santa Clara,6085
25-0000018,CA,San Diego,6073
25-0000019,CA,Los Angeles,6037
25-0000020,CA,Los Angeles,6037
25-0000021,CA,Riverside,6065
25-0000022,CA,Los Angeles,6037
25-0000023,CA,Santa Clara,6085
25-0000024,CA,Los Angeles,6037
25-0000025,CA,Los Angeles,6037
25-0000026,CA,Los Angeles,6037
25-0000027,CA,Alameda,6001
25-0000028,CA,Tulare,6107
25-0000029,CA,Orange,6059
25-0000030,CA,Solano,6095
25-0000031,CA,Mendocino,6045
25-0000032,CA,Los Angeles,6037
25-0000033,CA,Los Angeles,6037
25-0000034,CA,Los Angeles,6037
25-0000035,CA,San Bernardino,6071
25-0000036,CA,San Diego,6073
25-0000037,CA,Solano,6095
25-0000038,CA,San Mateo,6081
25-0000039,CA,Riverside,6065
25-0000040,CA,San Diego,6073
25-0000041,CA,Kern,6029
25-0000042,CA,Los Angeles,6037
25-0000043,CA,Los Angeles,6037
25-0000044,CA,Santa Barbara,6083
25-0000045,CA,Los Angeles,6037
25-0000046,CA,San Bernardino,6071
25-0000047,CA,Los Angeles,6037
25-0000048,CA,Los Angeles,6037
25-0000049,CA,Los Angeles,6037
25-0000050,CA,San Bernardino,6071
25-0000051,CA,San Bernardino,6071
25-0000052,CA,San Bernardino,6071
25-0000053,CA,Sacramento,6067
25-0000054,CA,Sacramento,6067
25-0000055,CA,Los Angeles,6037
25-0000056,CA,Contra Costa,6013
25-0000057,CA,Los Angeles,6037
25-0000058,CA,San Bernardino,6071
25-0000059,CA,Los Angeles,6037
25-0000060,CA,Los Angeles,6037
25-0000061,CA,Lake,6033
25-0000062,CA,Contra Costa,6013
25-0000063,CA,San Bernardino,6071
25-0000064,CA,San Bernardino,6071
25-0000065,CA,San Bernardino,6071
25-0000066,CA,San Diego,6073
25-0000067,CA,Stanislaus,6099
25-0000068,CA,Riverside,6065
25-0000069,CA,San Mateo,6081
25-0000070,CA,Orange,6059
25-0000071,CA,Los Angeles,6037
25-0000072,CA,Los Angeles,6037
25-0000073,CA,Los Angeles,6037
25-0000074,CA,San Bernardino,6071
25-0000075,CA,Riverside,6065
25-0000076,CA,San Bernardino,6071
25-0000077,CA,Los Angeles,6037
25-0000078,CA,San Bernardino,6071
25-0000079,CA,Santa Barbara,6083
25-0000080,CA,Fresno,6019
25-0000081,CA,San Bernardino,6071
25-0000082,CA,Los Angeles,6037
25-0000083,CA,Los Angeles,6037
25-0000084,CA,Sacramento,6067
25-0000085,CA,Monterey,6053
25-0000086,CA,Orange,6059
25-0000087,CA,Los Angeles,6037
25-0000088,CA,Santa Barbara,6083
25-0000089,CA,Los Angeles,6037
25-0000090,CA,Yuba,6115
25-0000091,CA,Los Angeles,6037
25-0000092,CA,Riverside,6065
25-0000093,CA,Los Angeles,6037
25-0000094,CA,San Bernardino,6071
25-0000095,CA,Los Angeles,6037
25-0000096,CA,Tulare,6107
25-0000097,CA,Los Angeles,6037
25-0000098,CA,Los Angeles,6037
25-0000099,CA,Solano,6095
25-0000100,CA,Sacramento,6067
25-0000101,CA,San Bernardino,6071
25-0000102,CA,Los Angeles,6037
25-0000103,CA,Orange,6059
25-0000104,CA,Los Angeles,6037
25-0000105,CA,Los Angeles,6037
25-0000106,CA,Los Angeles,6037
25-0000107,CA,Orange,6059
25-0000108,CA,Sacramento,6067
25-0000109,CA,Riverside,6065
25-0000110,CA,Riverside,6065
25-0000111,CA,San Bernardino,6071
25-0000112,CA,San Diego,6073
25-0000113,CA,Kern,6029
25-0000114,CA,San Diego,6073
25-0000115,CA,Los Angeles,6037
25-0000116,CA,Los Angeles,6037
25-0000117,CA,Los Angeles,6037
25-0000118,CA,Orange,6059
25-0000119,CA,Marin,6041
25-0000120,CA,Los Angeles,6037
25-0000121,CA,Los Angeles,6037
25-0000122,CA,Los Angeles,6037
25-0000123,CA,Los Angeles,6037
25-0000124,CA,Orange,6059
25-0000125,CA,Los Angeles,6037
25-0000126,CA,Del Norte,6015
25-0000127,CA,Los Angeles,6037
25-0000128,CA,Los Angeles,6037
25-0000129,CA,Los Angeles,6037
25-0000130,CA,Kern,6029
25-0000131,CA,San Bernardino,6071
25-0000132,CA,Orange,6059
25-0000133,CA,Sacramento,6067
25-0000134,CA,Orange,6059
25-0000135,CA,Los Angeles,6037
25-0000136,CA,Yolo,6113
25-0000137,CA,Los Angeles,6037
25-0000138,CA,Los Angeles,6037
25-0000139,CA,Sonoma,6097
25-0000140,CA,Los Angeles,6037
25-0000141,CA,Santa Cruz,6087
25-0000142,CA,San Luis Obispo,6079
25-0000143,CA,Santa Clara,6085
25-0000144,CA,Los Angeles,6037
25-0000145,CA,Los Angeles,6037
25-0000146,CA,Los Angeles,6037
25-0000147,CA,Los Angeles,6037
