State,County,FIPS,Total Population ,Below 200 PCT FPL
CA,Alameda,6001,1621569,321897
CA,Alpine,6003,1616,355
CA,Amador,6005,37999,7453
CA,Butte,6007,203191,75200
CA,Calaveras,6009,45806,13354
CA,Colusa,6011,21651,6814
CA,Contra Costa,6013,1155874,215632
CA,Del Norte,6015,24745,8674
CA,El Dorado,6017,191327,33408
CA,Fresno,6019,999115,391710
CA,Glenn,6021,28300,10273
CA,Humboldt,6023,131689,53155
CA,Imperial,6025,173150,80395
CA,Inyo,6027,18356,4904
CA,Kern,6029,891050,373618
CA,Kings,6031,139658,54004
CA,Lake,6033,66897,24959
CA,Lassen,6035,23868,7925
CA,Los Angeles,6037,9656697,2984091
CA,Madera,6039,154275,65721
CA,Marin,6041,253599,41823
CA,Mariposa,6043,16886,5117
CA,Mendocino,6045,88773,30182
CA,Merced,6047,285864,119996
CA,Modoc,6049,8458,3092
CA,Mono,6051,13047,2489
CA,Monterey,6053,420883,138156
CA,Napa,6055,132242,27278
CA,Nevada,6057,101478,24861
CA,Orange,6059,3126062,701873
CA,Placer,6061,415629,66427
CA,Plumas,6063,19210,6247
CA,Riverside,6065,2443638,675828
CA,Sacramento,6067,1575171,434672
CA,San Benito,6069,66961,13914
CA,San Bernardino,6071,2156389,697297
CA,San Diego,6073,3198446,745140
CA,San Francisco,6075,817138,175889
CA,San Joaquin,6077,785218,226593
CA,San Luis Obispo,6079,267830,67449
CA,San Mateo,6081,736087,109988
CA,Santa Barbara,6083,423298,131431
CA,Santa Clara,6085,1869227,293346
CA,Santa Cruz,6087,253688,61713
CA,Shasta,6089,178431,53471
CA,Sierra,6091,2568,680
CA,Siskiyou,6093,42954,15444
CA,Solano,6095,442305,99142
CA,Sonoma,6097,478922,97826
CA,Stanislaus,6099,548756,183459
CA,Sutter,6101,98022,32302
CA,Tehama,6103,64435,24569
CA,Trinity,6105,15734,7253
CA,Tulare,6107,473100,201892
CA,Tuolumne,6109,51578,13493
CA,Ventura,6111,827795,188206
CA,Yolo,6113,212568,64655
CA,Yuba,6115,83190,27529
